!! Predictions spanning range 140 - 11526 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 80.68 140-412 orient(+) score(81173.00) noncoding_equivalent(1006.15) raw_noncoding(1006.15) offset(0.00) 
140	412	single+	1	3	{GeneMark_model.10613_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 17.77 884-2940 orient(-) score(607657.00) noncoding_equivalent(34200.65) raw_noncoding(42125.00) offset(7924.35) 
934	884	terminal-	4	6	{GeneMark_model.10614_t;GeneMark},{Augustus_model.g8963.t1;Augustus},{GlimmerHMM_glimmerT_10759-T1;GlimmerHMM},{snap_scaffold_451-snap.2-T1;snap}
989	935	INTRON			{GeneMark_model.10614_t;GeneMark},{Augustus_model.g8963.t1;Augustus},{GlimmerHMM_glimmerT_10759-T1;GlimmerHMM},{snap_scaffold_451-snap.2-T1;snap}
2659	990	internal-	5	6	{GeneMark_model.10614_t;GeneMark},{Augustus_model.g8963.t1;Augustus},{GlimmerHMM_glimmerT_10759-T1;GlimmerHMM}
2729	2660	INTRON			{GeneMark_model.10614_t;GeneMark},{Augustus_model.g8963.t1;Augustus},{GlimmerHMM_glimmerT_10759-T1;GlimmerHMM}
2940	2730	initial-	4	4	{GeneMark_model.10614_t;GeneMark},{Augustus_model.g8963.t1;Augustus},{GlimmerHMM_glimmerT_10759-T1;GlimmerHMM},{snap_scaffold_451-snap.2-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 18.31 6127-7193 orient(-) score(319947.00) noncoding_equivalent(17472.05) raw_noncoding(18074.05) offset(602.00) 
7036	6127	terminal-	6	6	{snap_scaffold_451-snap.3-T1;snap},{GlimmerHMM_glimmerT_10760-T1;GlimmerHMM},{GeneMark_model.10615_t;GeneMark},{Augustus_model.g8964.t1;Augustus}
7092	7037	INTRON			{snap_scaffold_451-snap.3-T1;snap},{GlimmerHMM_glimmerT_10760-T1;GlimmerHMM},{GeneMark_model.10615_t;GeneMark},{Augustus_model.g8964.t1;Augustus}
7193	7093	initial-	4	5	{GlimmerHMM_glimmerT_10760-T1;GlimmerHMM},{GeneMark_model.10615_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.48 7831-9857 orient(-) score(604114.00) noncoding_equivalent(63744.04) raw_noncoding(65952.04) offset(2208.00) 
8389	7831	terminal-	6	6	{snap_scaffold_451-snap.4-T1;snap},{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM}
8447	8390	INTRON			{snap_scaffold_451-snap.4-T1;snap},{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
8913	8448	internal-	5	5	{snap_scaffold_451-snap.4-T1;snap},{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
8968	8914	INTRON			{snap_scaffold_451-snap.4-T1;snap},{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
9153	8969	internal-	6	4	{snap_scaffold_451-snap.4-T1;snap},{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
9219	9154	INTRON			{snap_scaffold_451-snap.4-T1;snap},{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
9712	9220	internal-	5	5	{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
9772	9713	INTRON			{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}
9857	9773	initial-	4	4	{GeneMark_model.10616_t;GeneMark},{GlimmerHMM_glimmerT_10761-T1;GlimmerHMM},{Augustus_model.g8964.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 5.52 10527-11526 orient(-) score(291900.00) noncoding_equivalent(52833.45) raw_noncoding(61699.00) offset(8865.55) 
10817	10527	terminal-	4	6	{Augustus_model.g8965.t1;Augustus},{snap_scaffold_451-snap.5-T1;snap},{GeneMark_model.10617_t;GeneMark},{GlimmerHMM_glimmerT_10762-T1;GlimmerHMM}
10885	10818	INTRON			{Augustus_model.g8965.t1;Augustus},{snap_scaffold_451-snap.5-T1;snap},{GeneMark_model.10617_t;GeneMark},{GlimmerHMM_glimmerT_10762-T1;GlimmerHMM}
11031	10886	internal-	5	6	{Augustus_model.g8965.t1;Augustus},{snap_scaffold_451-snap.5-T1;snap},{GeneMark_model.10617_t;GeneMark},{GlimmerHMM_glimmerT_10762-T1;GlimmerHMM}
