!! Predictions spanning range 1966 - 12964 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 6.80 1966-3474 orient(+) score(396000.00) noncoding_equivalent(58209.00) raw_noncoding(58209.00) offset(0.00) 
1966	3474	single+	1	3	{GlimmerHMM_glimmerT_10597-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.79 8347-10040 orient(+) score(375600.00) noncoding_equivalent(99192.99) raw_noncoding(139587.30) offset(40394.31) 
8347	8593	initial+	1	1	{GeneMark_model.10455_t;GeneMark},{GlimmerHMM_glimmerT_10599-T1;GlimmerHMM},{snap_scaffold_411-snap.3-T1;snap}
8594	8660	INTRON			{snap_scaffold_411-snap.3-T1;snap}
8661	9739	internal+	2	3	{snap_scaffold_411-snap.3-T1;snap}
9740	10019	INTRON			{snap_scaffold_411-snap.3-T1;snap}
10020	10040	terminal+	1	3	{snap_scaffold_411-snap.3-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 1.81 12436-12964 orient(+) score(105800.00) noncoding_equivalent(58379.00) raw_noncoding(63829.00) offset(5450.00) 
12436	12676	initial+	1	1	{GeneMark_model.10456_t;GeneMark},{GlimmerHMM_glimmerT_10600-T1;GlimmerHMM}
12677	12728	INTRON			{GeneMark_model.10456_t;GeneMark},{GlimmerHMM_glimmerT_10600-T1;GlimmerHMM}
12729	12964	internal+	2	3	{GeneMark_model.10456_t;GeneMark},{GlimmerHMM_glimmerT_10600-T1;GlimmerHMM}

