# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
52281at5125	scaffold_6	55.200	250	62	6	5	208	3852022	3851285	4.92e-64	140
52281at5125	scaffold_6	87.097	62	8	0	205	266	3851217	3851032	4.92e-64	122
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
52281at5125	scaffold_6	61.694	248	80	5	5	244	3852022	3851300	3.40e-65	143
52281at5125	scaffold_6	90.323	62	6	0	244	305	3851217	3851032	3.40e-65	124
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
52281at5125	scaffold_6	58.300	247	87	7	5	241	3852022	3851300	7.95e-70	155
52281at5125	scaffold_6	93.548	62	4	0	241	302	3851217	3851032	7.95e-70	126
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
52281at5125	scaffold_6	53.937	254	74	4	3	217	3852028	3851279	4.94e-75	187
52281at5125	scaffold_6	89.474	57	6	0	211	267	3851202	3851032	4.94e-75	112
52281at5125	scaffold_1	34.615	52	30	1	195	242	3147565	3147410	2.23e-04	42.4
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
52281at5125	scaffold_6	51.029	243	75	3	3	201	3852028	3851300	5.12e-68	145
52281at5125	scaffold_6	95.161	62	3	0	201	262	3851217	3851032	5.12e-68	130
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
52281at5125	scaffold_6	52.675	243	64	4	5	198	3852022	3851300	3.47e-62	135
52281at5125	scaffold_6	87.097	62	8	0	198	259	3851217	3851032	3.47e-62	121
52281at5125	scaffold_1	32.692	52	35	0	183	234	3147565	3147410	1.70e-04	42.7
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
52281at5125	scaffold_6	91.803	61	5	0	129	189	3851217	3851035	6.28e-51	121
52281at5125	scaffold_6	83.594	128	21	0	2	129	3851683	3851300	6.28e-51	97.4
52281at5125	scaffold_1	32.692	52	35	0	114	165	3147565	3147410	5.02e-06	46.2
# TBLASTN 2.14.1+
# Query: 52281at5125
# Database: ./tmp/trichoderma_reesei_cbs999.97_2041598285
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
52281at5125	scaffold_6	54.167	240	67	4	8	206	3852013	3851300	7.63e-69	157
52281at5125	scaffold_6	87.097	62	8	0	206	267	3851217	3851032	7.63e-69	121
52281at5125	scaffold_1	34.615	52	34	0	191	242	3147565	3147410	4.55e-05	44.7
# TBLASTN 2.14.1+
# Query: 52281at5125
