!! Predictions spanning range 3669 - 66433 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 50.50 3669-5567 orient(+) score(560499.00) noncoding_equivalent(11100.00) raw_noncoding(11100.00) offset(0.00) 
3669	5567	single+	1	3	{GlimmerHMM_glimmerT_7643-T1;GlimmerHMM},{GeneMark_model.7558_t;GeneMark},{Augustus_model.g6456.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 195.51 6410-7780 orient(-) score(410571.00) noncoding_equivalent(2100.00) raw_noncoding(2100.00) offset(0.00) 
7780	6410	single-	4	6	{Augustus_model.g6457.t1;Augustus},{GeneMark_model.7559_t;GeneMark},{GlimmerHMM_glimmerT_7644-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 21.95 11249-13004 orient(-) score(528556.00) noncoding_equivalent(24080.00) raw_noncoding(24682.00) offset(602.00) 
12730	11249	terminal-	4	6	{GeneMark_model.7560_t;GeneMark},{snap_scaffold_169-snap.3-T1;snap},{Augustus_model.g6458.t1;Augustus},{GlimmerHMM_glimmerT_7645-T1;GlimmerHMM}
12812	12731	INTRON			{GeneMark_model.7560_t;GeneMark},{snap_scaffold_169-snap.3-T1;snap},{Augustus_model.g6458.t1;Augustus},{GlimmerHMM_glimmerT_7645-T1;GlimmerHMM}
13004	12813	initial-	4	6	{GeneMark_model.7560_t;GeneMark},{snap_scaffold_169-snap.3-T1;snap},{Augustus_model.g6458.t1;Augustus},{GlimmerHMM_glimmerT_7645-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 15.31 13993-14640 orient(-) score(183088.00) noncoding_equivalent(11960.00) raw_noncoding(11960.00) offset(0.00) 
14640	13993	single-	4	6	{GeneMark_model.7561_t;GeneMark},{GlimmerHMM_glimmerT_7646-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 14.82 15127-16583 orient(-) score(431992.00) noncoding_equivalent(29155.00) raw_noncoding(36419.00) offset(7264.00) 
15408	15127	terminal-	4	6	{GeneMark_model.7562_t;GeneMark},{snap_scaffold_169-snap.5-T1;snap}
15473	15409	INTRON			{GeneMark_model.7562_t;GeneMark},{snap_scaffold_169-snap.5-T1;snap}
16474	15474	internal-	5	6	{GeneMark_model.7562_t;GeneMark},{Augustus_model.g6460.t1;Augustus},{snap_scaffold_169-snap.5-T1;snap},{GlimmerHMM_glimmerT_7647-T1;GlimmerHMM}
16531	16475	INTRON			{GeneMark_model.7562_t;GeneMark},{Augustus_model.g6460.t1;Augustus},{snap_scaffold_169-snap.5-T1;snap},{GlimmerHMM_glimmerT_7647-T1;GlimmerHMM}
16583	16532	initial-	4	4	{GeneMark_model.7562_t;GeneMark},{Augustus_model.g6460.t1;Augustus},{snap_scaffold_169-snap.5-T1;snap},{GlimmerHMM_glimmerT_7647-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.05 16872-20595 orient(+) score(771861.00) noncoding_equivalent(253405.34) raw_noncoding(528797.74) offset(275392.40) 
16872	16927	initial+	1	2	{GeneMark_model.7563_t;GeneMark}
16928	18236	INTRON			{GeneMark_model.7563_t;GeneMark}
18237	18731	internal+	3	2	{GeneMark_model.7563_t;GeneMark},{Augustus_model.g6461.t1;Augustus}
18732	18920	INTRON			{GlimmerHMM_glimmerT_7648-T1;GlimmerHMM},{snap_scaffold_169-snap.6-T1;snap}
18921	19403	internal+	3	2	{GeneMark_model.7563_t;GeneMark},{Augustus_model.g6461.t1;Augustus},{GlimmerHMM_glimmerT_7648-T1;GlimmerHMM},{snap_scaffold_169-snap.6-T1;snap}
19404	19450	INTRON			{GeneMark_model.7563_t;GeneMark},{Augustus_model.g6461.t1;Augustus},{GlimmerHMM_glimmerT_7648-T1;GlimmerHMM},{snap_scaffold_169-snap.6-T1;snap}
19451	20163	internal+	3	1	{GeneMark_model.7563_t;GeneMark},{Augustus_model.g6461.t1;Augustus},{GlimmerHMM_glimmerT_7648-T1;GlimmerHMM}
20164	20212	INTRON			{GeneMark_model.7563_t;GeneMark},{Augustus_model.g6461.t1;Augustus},{GlimmerHMM_glimmerT_7648-T1;GlimmerHMM}
20213	20595	terminal+	2	3	{GeneMark_model.7563_t;GeneMark},{snap_scaffold_169-snap.6-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 7.18 20962-21353 orient(+) score(102316.00) noncoding_equivalent(14245.33) raw_noncoding(14445.33) offset(200.00) 
20962	21216	initial+	1	3	{snap_scaffold_169-snap.7-T1;snap}
21217	21230	INTRON			{snap_scaffold_169-snap.7-T1;snap}
21231	21353	terminal+	1	3	{snap_scaffold_169-snap.7-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 11.18 21764-22434 orient(-) score(201971.00) noncoding_equivalent(18060.00) raw_noncoding(18662.00) offset(602.00) 
22018	21764	terminal-	4	6	{GlimmerHMM_glimmerT_7649-T1;GlimmerHMM},{Augustus_model.g6462.t1;Augustus},{snap_scaffold_169-snap.8-T1;snap},{GeneMark_model.7565_t;GeneMark}
22080	22019	INTRON			{GlimmerHMM_glimmerT_7649-T1;GlimmerHMM},{Augustus_model.g6462.t1;Augustus},{snap_scaffold_169-snap.8-T1;snap},{GeneMark_model.7565_t;GeneMark}
22434	22081	initial-	4	6	{GlimmerHMM_glimmerT_7649-T1;GlimmerHMM},{Augustus_model.g6462.t1;Augustus},{snap_scaffold_169-snap.8-T1;snap},{GeneMark_model.7565_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.73 22787-23461 orient(+) score(135675.00) noncoding_equivalent(23687.22) raw_noncoding(31589.22) offset(7902.00) 
22787	22855	initial+	1	3	{Augustus_model.g6463.t1;Augustus},{GlimmerHMM_glimmerT_7650-T1;GlimmerHMM},{GeneMark_model.7566_t;GeneMark}
22856	22936	INTRON			{Augustus_model.g6463.t1;Augustus},{GlimmerHMM_glimmerT_7650-T1;GlimmerHMM},{GeneMark_model.7566_t;GeneMark}
22937	23461	terminal+	1	3	{Augustus_model.g6463.t1;Augustus},{GlimmerHMM_glimmerT_7650-T1;GlimmerHMM},{GeneMark_model.7566_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.45 23656-24205 orient(-) score(163950.00) noncoding_equivalent(36831.61) raw_noncoding(38035.61) offset(1204.00) 
23778	23656	terminal-	4	6	{GeneMark_model.7567_t;GeneMark},{GlimmerHMM_glimmerT_7651-T1;GlimmerHMM},{Augustus_model.g6464.t1;Augustus}
23828	23779	INTRON			{GeneMark_model.7567_t;GeneMark},{GlimmerHMM_glimmerT_7651-T1;GlimmerHMM},{Augustus_model.g6464.t1;Augustus},{snap_scaffold_169-snap.9-T1;snap}
23899	23829	internal-	5	6	{GeneMark_model.7567_t;GeneMark},{GlimmerHMM_glimmerT_7651-T1;GlimmerHMM},{Augustus_model.g6464.t1;Augustus},{snap_scaffold_169-snap.9-T1;snap}
23970	23900	INTRON			{GeneMark_model.7567_t;GeneMark},{GlimmerHMM_glimmerT_7651-T1;GlimmerHMM},{Augustus_model.g6464.t1;Augustus},{snap_scaffold_169-snap.9-T1;snap}
24205	23971	initial-	4	4	{GeneMark_model.7567_t;GeneMark},{GlimmerHMM_glimmerT_7651-T1;GlimmerHMM},{Augustus_model.g6464.t1;Augustus},{snap_scaffold_169-snap.9-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 59.77 24640-28046 orient(+) score(1025507.00) noncoding_equivalent(17157.00) raw_noncoding(17759.00) offset(602.00) 
24640	24702	initial+	1	3	{GeneMark_model.7568_t;GeneMark},{Augustus_model.g6465.t1;Augustus},{GlimmerHMM_glimmerT_7652-T1;GlimmerHMM},{snap_scaffold_169-snap.10-T1;snap}
24703	24761	INTRON			{GeneMark_model.7568_t;GeneMark},{Augustus_model.g6465.t1;Augustus},{GlimmerHMM_glimmerT_7652-T1;GlimmerHMM},{snap_scaffold_169-snap.10-T1;snap}
24762	28046	terminal+	1	3	{GeneMark_model.7568_t;GeneMark},{Augustus_model.g6465.t1;Augustus},{GlimmerHMM_glimmerT_7652-T1;GlimmerHMM},{snap_scaffold_169-snap.10-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 8.51 31968-32435 orient(+) score(140868.00) noncoding_equivalent(16555.00) raw_noncoding(17157.00) offset(602.00) 
31968	32226	initial+	1	1	{GeneMark_model.7569_t;GeneMark},{Augustus_model.g6466.t1;Augustus},{snap_scaffold_169-snap.11-T1;snap},{GlimmerHMM_glimmerT_7653-T1;GlimmerHMM}
32227	32283	INTRON			{GeneMark_model.7569_t;GeneMark},{Augustus_model.g6466.t1;Augustus},{snap_scaffold_169-snap.11-T1;snap},{GlimmerHMM_glimmerT_7653-T1;GlimmerHMM}
32284	32435	terminal+	2	3	{GeneMark_model.7569_t;GeneMark},{Augustus_model.g6466.t1;Augustus},{snap_scaffold_169-snap.11-T1;snap},{GlimmerHMM_glimmerT_7653-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.71 33656-34011 orient(-) score(107156.00) noncoding_equivalent(28896.00) raw_noncoding(29498.00) offset(602.00) 
33712	33656	terminal-	4	6	{snap_scaffold_169-snap.12-T1;snap},{Augustus_model.g6467.t1;Augustus},{GeneMark_model.7570_t;GeneMark},{GlimmerHMM_glimmerT_7654-T1;GlimmerHMM}
